	max_occurrence	max_field	in_fields	not_in_fields	rel_013D a	rel_013E a	rel_013F a	rel_032@ a	rel_032W a	rel_041A a	rel_041A g	rel_044K a	rel_044K g	rel_044L a	rel_044N a	rel_044S a	rel_044Z a	rel_045D a	rel_045Q j
Bühnenmanuskript	30.0	032@ a	['013D a', '032@ a']	['013E a', '013F a', '032W a', '041A a', '041A g', '044K a', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']	2e-06			0.000123											
Feuilleton	14.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						9.1e-05		2.8e-05		0.000154					
Social Beat	3.0	044N a	['044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K a', '044K g', '044L a', '044S a', '044Z a', '045D a', '045Q j']											5.4e-05				
Festspiel	2.0	044K a	['041A a', '044K a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		4e-06			1.8e-05				
Flutsage	4.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		8e-06							
Lyrics	2.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								4e-06							
Glosa	2.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		4e-06							
Chick Lit	3.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								6e-06							
Phlyaken	1.0	041A a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		2e-06							
Sutra	44.0	044K a	['041A a', '044K a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044S a', '044Z a', '045D a', '045Q j']						0.000132		8.9e-05			3.6e-05				
Fan-Fiction	18.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-05		3.6e-05							
Space opera	2.0	041A a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						1.4e-05		2e-06							
Natureingang	8.0	041A a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						5.6e-05		4e-06							
Tazkira	5.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								1e-05							
Regionalkrimi	7.0	041A a	['041A a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K a', '044K g', '044L a', '044S a', '044Z a', '045D a', '045Q j']						4.9e-05					3.6e-05				
Protreptik	2.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								4e-06							
Angewandtes Theater	10.0	041A a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-05		1.6e-05							
Autoethnografie	12.0	041A a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						8.4e-05		2.4e-05		0.000154					
Hugo Award	2.0	041A a	['041A a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K a', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						1.4e-05									
Fiktionale Darstellung	99405.0	013D a	['013D a', '041A a', '044K a', '044N a']	['013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044S a', '044Z a', '045D a', '045Q j']	0.238256					7.7e-05		0.002054			1.8e-05				
Roman noir	13.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						1.4e-05		2.6e-05							
Ruralismus	1.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								2e-06							
Osterfeier	2.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		4e-06							
Geopoetik	19.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						1.4e-05		3.8e-05							
Jüdischer Witz	5.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						2.8e-05		1e-05							
Sachcomic	5.0	044N a	['041A a', '044K a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044S a', '044Z a', '045D a', '045Q j']						2.1e-05		4e-06			9.1e-05				
Buntschriftstellerei	1.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								2e-06							
Shōnen	1.0	041A a	['041A a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K a', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06									
Sandesa	2.0	041A a	['041A a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K a', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						1.4e-05									
Graphzine	218.0	013D a	['013D a', '041A a', '044K a']	['013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']	0.000523					3.5e-05		4e-06							
Mystery	4.0	041A a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						2.8e-05		6e-06		0.000205	3.6e-05				
Reformationsdrama	8.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								1.6e-05							
Adaption	171.0	044K a	['041A a', '044K a', '044L a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044S a', '044Z a', '045D a', '045Q j']						0.00055		0.000344		0.000205	0.000109				
Gôgen-Witz	1.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								2e-06							
Wiener Volkstheater	10.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						1.4e-05		2e-05		0.000103					
Kokkeibon	3.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								6e-06							
Saibara	1.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								2e-06							
Liebesdrama	10.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								2e-05							
Amours	4.0	041A a	['041A a', '044K a', '044N a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044S a', '044Z a', '045D a', '045Q j']						2.8e-05		4e-06			1.8e-05				
Nasīb	2.0	044K a	['041A a', '044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		4e-06							
Nänie	1.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								2e-06							
Epeisodion	2.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								4e-06							
Bänkelsänger	2.0	044K a	['041A a', '044K a', '044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A g', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']						7e-06		4e-06		0.000103					
Cantique	1.0	044L a	['044L a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K a', '044K g', '044N a', '044S a', '044Z a', '045D a', '045Q j']										5.1e-05					
Pinghua	3.0	044K a	['044K a']	['013D a', '013E a', '013F a', '032@ a', '032W a', '041A a', '041A g', '044K g', '044L a', '044N a', '044S a', '044Z a', '045D a', '045Q j']								6e-06							
